date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:32	79748/79748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2019%20Dec%202024%2012:57:27%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont.eot?	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfontd41d.eot	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/css/elusive-icons.css)
21:56:33	48812/48812	---M--	200	added ('OK')	font/woff	date:Thu,%2019%20Dec%202024%2012:57:28%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont.woff?v=2.0.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont28b5.woff	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/css/elusive-icons.css)
21:56:33	79556/79556	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2019%20Dec%202024%2012:57:28%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont.ttf?v=2.0.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont28b5.ttf	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/css/elusive-icons.css)
21:56:34	127188/127188	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Dec%202024%2012:57:28%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont.svg?v=2.0.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/fonts/elusiveicons-webfont28b5.svg	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/elusive-icons/css/elusive-icons.css)
21:56:35	54266/54266	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2019%20Dec%202024%2013:26:03%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Icons.eot?v=2.4.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Iconsb26c.eot	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/css/simple-line-icons.css)
21:56:35	30064/30064	---M--	200	added ('OK')	font/woff2	date:Thu,%2019%20Dec%202024%2013:26:02%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Icons.woff2?v=2.4.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Iconsb26c.woff2	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/css/simple-line-icons.css)
21:56:36	54056/54056	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2019%20Dec%202024%2013:01:13%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Icons.ttf?v=2.4.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Iconsb26c.ttf	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/css/simple-line-icons.css)
21:56:37	81332/81332	---M--	200	added ('OK')	font/woff	date:Thu,%2019%20Dec%202024%2013:01:12%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Icons.woff?v=2.4.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Iconsb26c.woff	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/css/simple-line-icons.css)
21:56:37	239045/239045	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Dec%202024%2013:26:07%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Icons.svg?v=2.4.0	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/fonts/Simple-Line-Iconsb26c.svg	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/simple-line-icons/css/simple-line-icons.css)
21:56:38	16316/16316	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2019%20Dec%202024%2013:01:01%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteocons.eot?lbb2co	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteoconsbc3c.eot	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/css/meteocons.css)
21:56:39	16316/16316	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2019%20Dec%202024%2013:01:01%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteocons.eot?	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteoconsd41d.eot	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/css/meteocons.css)
21:56:39	16228/16228	---M--	200	added ('OK')	font/woff	date:Thu,%2019%20Dec%202024%2013:01:01%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteocons.woff?lbb2co	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteoconsbc3c.woff	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/css/meteocons.css)
21:56:40	16152/16152	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2019%20Dec%202024%2013:25:56%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteocons.ttf?lbb2co	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteoconsbc3c.ttf	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/css/meteocons.css)
21:56:41	53968/53968	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Dec%202024%2013:01:01%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteocons.svg?lbb2co	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/fonts/meteoconsbc3c.svg	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/meteocons/css/meteocons.css)
21:56:42	26667/26667	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20May%202025%2014:56:41%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/ajax/img/projects/project-1.jpg	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/ajax/img/projects/project-1.jpg	(from https://www.okler.net/previews/porto-admin/4.3.0/ajax/ui-elements-modals-ajax.html)
21:56:42	5660/5660	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2013:19:42%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/32px.png	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/32px.png	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/style.css)
21:56:43	1464/1464	---M--	200	added ('OK')	image/gif	date:Thu,%2019%20Dec%202024%2013:19:43%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/throbber.gif	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/throbber.gif	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/style.css)
21:56:43	2215/2215	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2013:19:42%20GMT	https://www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/40px.png	F:/doantotnghiep/admin/www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/40px.png	(from https://www.okler.net/previews/porto-admin/4.3.0/vendor/jstree/themes/default/style.css)
